SOUID,    DATE,   RR, Q_RR
100814,20040413,   15,    0
100814,20040414,    0,    0
100814,20040415,    0,    0
100814,20040416,   27,    0
100814,20040417,    5,    0
100814,20040418,    0,    0
100814,20040419,  119,    0
100814,20040420,   44,    0
100814,20040421,    0,    0
100814,20040422,    0,    0
100814,20040423,    0,    0
100814,20040424,   91,    0
100814,20040425,   75,    0
100814,20040426,   16,    0
100814,20040427,    0,    0
100814,20040428,    0,    0
100814,20040429,    0,    0
100814,20040430,    0,    0
100814,20040501,   17,    0
100814,20040502,   28,    0
100814,20040503,    0,    0
100814,20040504,   12,    0
100814,20040505,    6,    0
100814,20040506,    6,    0
100814,20040507,    0,    0
100814,20040508,   68,    0
100814,20040509,   70,    0
100814,20040510,    1,    0
100814,20040511,    0,    0
100814,20040512,    0,    0
100814,20040513,   24,    0
100814,20040514,    1,    0
100814,20040515,    0,    0
100814,20040516,    7,    0
100814,20040517,    1,    0
100814,20040518,   25,    0
100814,20040519,    0,    0
100814,20040520,    0,    0
100814,20040521,    0,    0
100814,20040522,   34,    0
100814,20040523,   20,    0
100814,20040524,    9,    0
100814,20040525,    0,    0
100814,20040526,    0,    0
100814,20040527,    0,    0
100814,20040528,    0,    0
100814,20040529,    0,    0
100814,20040530,   37,    0
100814,20040531,    0,    0
100814,20040601,    0,    0
100814,20040602,   39,    0
100814,20040603,  196,    0
100814,20040604,  190,    0
100814,20040605,    2,    0
100814,20040606,    0,    0
100814,20040607,    0,    0
100814,20040608,   33,    0
100814,20040609,   13,    0
100814,20040610,    0,    0
100814,20040611,    0,    0
100814,20040612,    0,    0
100814,20040613,   72,    0
100814,20040614,    0,    0
100814,20040615,    0,    0
100814,20040616,   44,    0
100814,20040617,  178,    0
100814,20040618,    0,    0
100814,20040619,    0,    0
100814,20040620,   51,    0
100814,20040621,   27,    0
100814,20040622,    0,    0
100814,20040623,    0,    0
100814,20040624,    0,    0
100814,20040625,  140,    0
100814,20040626,    0,    0
100814,20040627,    0,    0
100814,20040628,   28,    0
100814,20040629,   56,    0
100814,20040630,    0,    0
100814,20040701,    0,    0
100814,20040702,    0,    0
100814,20040703,    0,    0
100814,20040704,    0,    0
100814,20040705,    0,    0
100814,20040706,    0,    0
100814,20040707,    0,    0
100814,20040708,    0,    0
100814,20040709,    0,    0
100814,20040710,    0,    0
100814,20040711,   19,    0
100814,20040712,  152,    0
100814,20040713,   18,    0
100814,20040714,    0,    0
100814,20040715,    0,    0
100814,20040716,    0,    0
100814,20040717,    0,    0
100814,20040718,    0,    0
100814,20040719,    0,    0
100814,20040720,    0,    0
